ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      97       149.4712       131.2360         0.0000         0.0000          -6082.1784       640.7526         0.0000         0.0000         0.0000          -5160.7186         0.0000     -5160.7186     -5160.7186         0.0000           3022.3115    -11010.0444     23823.1240      3022.3115    -11010.0444
ENERGY:      98       159.2370       129.0190         0.0000         0.0000          -6093.3473       624.2612         0.0000         0.0000         0.0000          -5180.8302         0.0000     -5180.8302     -5180.8302         0.0000           2665.3377    -11341.7120     23823.1240      2665.3377    -11341.7120
ENERGY:      99       199.3347       128.7235         0.0000         0.0000          -6104.4169       610.1039         0.0000         0.0000         0.0000          -5166.2548         0.0000     -5166.2548     -5166.2548         0.0000           2142.8814    -11636.9246     23823.1240      2142.8814    -11636.9246
ENERGY:     100       161.8485       128.9067         0.0000         0.0000          -6094.4586       622.7411         0.0000         0.0000         0.0000          -5180.9623         0.0000     -5180.9623     -5180.9623         0.0000           2139.4378      1808.3782     23823.1240      2139.4378      1808.3782
ENERGY:     101       161.5229       128.9190         0.0000         0.0000          -6094.3272       622.9201         0.0000         0.0000         0.0000          -5180.9652         0.0000     -5180.9652     -5180.9652         0.0000           2144.4285      1811.3243     23823.1240      2144.4285      1811.3243
ENERGY:     102       165.5568       134.3430         0.0000         0.0000          -6139.6033       600.9846         0.0000         0.0000         0.0000          -5238.7188         0.0000     -5238.7188     -5238.7188         0.0000            777.9378      1361.5798     23823.1240       777.9378      1361.5798
ENERGY:     103       204.4693       145.0896         0.0000         0.0000          -6184.7523       585.8729         0.0000         0.0000         0.0000          -5249.3205         0.0000     -5249.3205     -5249.3205         0.0000           -821.1242      1004.2880     23823.1240      -821.1242      1004.2880
ENERGY:     104       280.0597       160.8031         0.0000         0.0000          -6229.7526       577.3844         0.0000         0.0000         0.0000          -5211.5054         0.0000     -5211.5054     -5211.5054         0.0000          -2656.9571       737.2032     23823.1240     -2656.9571       737.2032
ENERGY:     105       190.0605       141.5865         0.0000         0.0000          -6172.2135       589.4121         0.0000         0.0000         0.0000          -5251.1544         0.0000     -5251.1544     -5251.1544         0.0000           -352.8285      1094.6096     23823.1240      -352.8285      1094.6096
ENERGY:     106       165.9939       138.7433         0.0000         0.0000          -6167.3369       574.7960         0.0000         0.0000         0.0000          -5287.8036         0.0000     -5287.8036     -5287.8036         0.0000            344.4241       899.5296     23823.1240       344.4241       899.5296
ENERGY:     107       165.3374       137.0414         0.0000         0.0000          -6162.4780       563.2087         0.0000         0.0000         0.0000          -5296.8905         0.0000     -5296.8905     -5296.8905         0.0000            914.6394       745.6954     23823.1240       914.6394       745.6954
ENERGY:     108       186.8526       136.4289         0.0000         0.0000          -6157.6369       554.3921         0.0000         0.0000         0.0000          -5279.9634         0.0000     -5279.9634     -5279.9634         0.0000           1356.0365       629.9994     23823.1240      1356.0365       629.9994
ENERGY:     109       163.9387       137.2386         0.0000         0.0000          -6163.2379       564.8404         0.0000         0.0000         0.0000          -5297.2202         0.0000     -5297.2202     -5297.2202         0.0000            833.6022       767.3199     23823.1240       833.6022       767.3199
