# step Etot Epot T p 
416 -6111.8558 -6111.8558 0.0 -1847.7132 
417 -6111.8323 -6111.8323 0.0 -1828.0921 
418 -6111.8556 -6111.8556 0.0 -1845.7443 
419 -6111.8558 -6111.8558 0.0 -1847.4633 
420 -6111.8558 -6111.8558 0.0 -1847.7132 
421 -6088.0193 -6088.0193 0.0 -2233.4589 
422 -6114.4038 -6114.4038 0.0 -1916.0827 
423 -6114.3782 -6114.3782 0.0 -1908.5751 
424 -6114.4035 -6114.4035 0.0 -1915.3252 
425 -6114.4038 -6114.4038 0.0 -1915.9911 
426 -6114.4038 -6114.4038 0.0 -1916.0827 
427 -6101.1648 -6101.1648 0.0 -1425.4649 
428 -6116.3968 -6116.3968 0.0 -1772.5682 
429 -6116.3788 -6116.3788 0.0 -1786.5046 
430 -6116.397 -6116.397 0.0 -1773.9624 
431 -6116.397 -6116.397 0.0 -1773.6195 
432 -6116.397 -6116.397 0.0 -1773.9624 
433 -6100.1432 -6100.1432 0.0 -2216.3874 
434 -6118.4593 -6118.4593 0.0 -1865.8902 
435 -6118.2801 -6118.2801 0.0 -1895.8451 
436 -6118.4584 -6118.4584 0.0 -1868.8447 
437 -6118.4591 -6118.4591 0.0 -1866.2552 
438 -6118.4594 -6118.4594 0.0 -1865.9284 
439 -6118.4593 -6118.4593 0.0 -1865.9593 
440 -6118.4594 -6118.4594 0.0 -1865.9284 
441 -6107.535 -6107.535 0.0 -1868.7291 
442 -6121.1899 -6121.1899 0.0 -1853.0873 
443 -6105.3707 -6105.3707 0.0 -1695.6665 
444 -6122.9904 -6122.9904 0.0 -1802.6305 
445 -6122.8197 -6122.8197 0.0 -1788.4498 
446 -6122.9887 -6122.9887 0.0 -1801.1682 
447 -6122.9904 -6122.9904 0.0 -1802.4659 
448 -6114.9737 -6114.9737 0.0 -2170.6775 
449 -6125.5285 -6125.5285 0.0 -1906.6765 
450 -6125.4246 -6125.4246 0.0 -1929.9865 
451 -6125.5282 -6125.5282 0.0 -1908.9877 
452 -6125.5288 -6125.5288 0.0 -1906.9844 
453 -6125.5288 -6125.5288 0.0 -1906.954 
454 -6125.5289 -6125.5289 0.0 -1906.9291 
455 -6123.8712 -6123.8712 0.0 -1881.5147 
456 -6129.4299 -6129.4299 0.0 -1878.4868 
457 -6129.3771 -6129.3771 0.0 -1877.004 
458 -6129.4297 -6129.4297 0.0 -1878.3221 
459 -6129.43 -6129.43 0.0 -1878.4453 
460 -6134.8929 -6134.8929 0.0 -1817.2181 
461 -6119.8707 -6119.8707 0.0 -1869.8171 
462 -6135.4407 -6135.4407 0.0 -1821.1884 
463 -6142.4446 -6142.4446 0.0 -2023.2967 
464 -6131.7319 -6131.7319 0.0 -2332.8686 
465 -6142.532 -6142.532 0.0 -1998.0607 
466 -6147.0981 -6147.0981 0.0 -1819.7283 
467 -6129.995 -6129.995 0.0 -1756.1431 
468 -6147.9945 -6147.9945 0.0 -1859.2711 
469 -6151.5728 -6151.5728 0.0 -1847.7269 
470 -6132.6755 -6132.6755 0.0 -1949.227 
471 -6152.8544 -6152.8544 0.0 -1838.8686 
472 -6152.8427 -6152.8427 0.0 -1839.1762 
473 -6152.854 -6152.854 0.0 -1838.8847 
474 -6152.8544 -6152.8544 0.0 -1838.871 
475 -6152.8544 -6152.8544 0.0 -1838.8732 
476 -6155.8261 -6155.8261 0.0 -2044.8228 
477 -6135.5517 -6135.5517 0.0 -2372.2374 
478 -6157.4089 -6157.4089 0.0 -1954.0528 
479 -6157.3935 -6157.3935 0.0 -1962.364 
480 -6157.4087 -6157.4087 0.0 -1954.876 
481 -6157.4089 -6157.4089 0.0 -1954.2348 
482 -6157.7329 -6157.7329 0.0 -1710.7107 
483 -6130.083 -6130.083 0.0 -1591.474 
484 -6161.0268 -6161.0268 0.0 -1813.7312 
485 -6160.9952 -6160.9952 0.0 -1802.0761 
486 -6161.0264 -6161.0264 0.0 -1812.5475 
487 -6161.027 -6161.027 0.0 -1813.6154 
488 -6161.6757 -6161.6757 0.0 -1897.8638 
489 -6135.9443 -6135.9443 0.0 -2105.6521 
490 -6164.6366 -6164.6366 0.0 -1842.1612 
